subject_id,survey_id,image_url,data_description,galaxy_description,RA,DEC,redshift,n_class,p_smooth,p_featured,p_artifact,p_edgeon,p_notedgeon,p_spiral,p_notspiral,p_ring,p_lens,p_disturbed,p_irregular,p_other,p_merger,p_dustlane,p_clumpy,p_notclumpy
AHZ2001kqj,20190845,http://zoo-hst.s3.amazonaws.com/20190845.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.5007748,2.8621605,0.10,49,0.022000014781951904,0.9779999852180481,0.0,0.0,0.9354413095838991,0.9354413095838991,0.0,0.085902,0.06394,0.0,0.0,0.06394,0.021406,0.042812,0.021515999558210375,0.9564839710865023
AHZ2000wy8,20110831,http://zoo-hst.s3.amazonaws.com/20110831.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.431081,2.4027344,0.11,45,0.11800003051757812,0.8309999704360962,0.051,0.0,0.6511989895076193,0.6511989895076193,0.0,0.025,0.025,0.0,0.0,0.05,0.075,0.025,0.04736699833962321,0.7836329875750536
AHZ2001erv,20170331,http://zoo-hst.s3.amazonaws.com/20170331.jpg,the COSMOS dataset in GZ: Hubble,featured,150.4117021,2.6600542,0.12,44,0.1899999846937135,0.8090000152587891,0.001,0.25004184630880405,0.3658247695824385,0.15401222938971734,0.21181254019272114,0.14311899,0.0,0.0,0.0,0.0,0.0,0.023881001,0.047731001189589506,0.7612690020141599
AHZ20016zf,20145178,http://zoo-hst.s3.amazonaws.com/20145178.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.3559244,2.5292828,0.14,39,9.313225746154785E-9,0.9729999899864197,0.027,0.18374967837911244,0.6048755782030456,0.4736175731181503,0.13125799607154684,0.194218,0.027797,0.0,0.0,0.083391,0.0,0.055594,0.16249099415206913,0.8105089958343505
AHZ2001mr2,20197858,http://zoo-hst.s3.amazonaws.com/20197858.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.7691738,2.8235016,0.08,48,0.08500002697110176,0.890999972820282,0.024,0.01845773254090215,0.719851575971225,0.6089944445989717,0.11085714209887768,0.1914,0.0,0.0,0.0,0.085172996,0.0,0.042427,0.06236999836295842,0.8286299810957907
AHZ2000tf8,20099382,http://zoo-hst.s3.amazonaws.com/20099382.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.7885778,2.1319634,0.35,48,0.046000005677342415,0.9309999942779541,0.023,0.8053527343777878,0.019803755712995644,0.0,0.019803755712995644,0.0,0.022200001,0.022200001,0.0,0.044400003,0.022200001,0.0,0.044688000113785264,0.8863120149736403
AHZ2001rbb,20128042,http://zoo-hst.s3.amazonaws.com/20128042.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.7281665,2.3581024,0.23,26,0.17200001189485192,0.824999988079071,0.003,0.0,0.5390549815008047,0.4328611357508252,0.10619382968488912,0.043247,0.043247,0.0,0.0,0.129008,0.34524298,0.172255,0.17160000106096263,0.6533999870181084
AHZ2000xye,20114552,http://zoo-hst.s3.amazonaws.com/20114552.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.2639477,2.4347228,0.11,54,0.038999978452920914,0.9520000219345093,0.009,0.887271631821029,0.0,0.0,0.0,0.0,0.0,0.019720001,0.0,0.019720001,0.0,0.53998,0.019992000191092485,0.9320079951448434
AHZ2001cao,20162432,http://zoo-hst.s3.amazonaws.com/20162432.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.5060962,2.5278952,0.23,38,0.10900001227855682,0.8389999866485596,0.052,0.022486051464649645,0.658909456233132,0.40852386600646695,0.25038559022666507,0.361845,0.0,0.0,0.0,0.083248,0.0,0.027906999,0.02684800084796546,0.8121519826750756
AHZ2000l3t,20071626,http://zoo-hst.s3.amazonaws.com/20071626.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.7929998,2.1256138,0.39,51,0.08199998550117016,0.8970000147819519,0.021,0.01872727525618348,0.7303637419676092,0.6931151918237903,0.03724855014381893,0.021,0.0,0.021,0.0,0.042,0.0,0.0,0.06189299946945903,0.835107008629322
AHZ2001iu5,20184027,http://zoo-hst.s3.amazonaws.com/20184027.jpg,the COSMOS dataset in GZ: Hubble,featured,149.7730178,2.6361157,0.09,46,0.09099998325109482,0.7950000166893005,0.114,0.0543010588191048,0.523369808069985,0.3789197290636849,0.14445006340866437,0.35895997,0.025639998,0.051279996,0.025639998,0.051279996,0.10255999,0.025639998,0.06837000375717883,0.7266299951624866
AHZ20018ah,20149740,http://zoo-hst.s3.amazonaws.com/20149740.jpg,the COSMOS dataset in GZ: Hubble,featured,150.1388488,2.5231434,0.13,46,0.20599997229874134,0.7710000276565552,0.023,0.06984147329494808,0.507360792769109,0.35007894580104276,0.15728184696806616,0.58073604,0.024430001,0.023034,0.0,0.046766,0.0,0.023034,0.02235900015866754,0.7486410389866833
AHZ2000tam,20099170,http://zoo-hst.s3.amazonaws.com/20099170.jpg,the COSMOS dataset in GZ: Hubble,spiral,149.7930017,2.1256152,0.38,51,0.07099998742341995,0.8600000143051147,0.069,0.05825089638084122,0.6036911115337016,0.5650548740625729,0.03863623297327941,0.070929,0.023643,0.0,0.0,0.047286,0.023643,0.047286,0.0902999986827373,0.7696999963998792
AHZ20016yh,20145055,http://zoo-hst.s3.amazonaws.com/20145055.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.318512,2.4618417,0.46,47,0.243999978993088,0.753000020980835,0.003,0.5335554900810355,0.0,0.0,0.0,6.6699996E-4,0.0,0.0,0.0,0.0,0.0,0.022333,0.044427001507163055,0.7085730082530972
AHZ2001r0g,20113763,http://zoo-hst.s3.amazonaws.com/20113763.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,150.3483006,2.4046599,0.11,24,0.17500001192092896,0.824999988079071,0.0,0.6806249803304674,0.0,0.0,0.0,7.5E-4,0.0,0.0,0.0,0.08325,0.24975,0.41625,0.0,0.824999988079071
